R-HSA-70688	2
R-HSA-75035	12
R-HSA-216083	85
R-HSA-3134963	13
R-HSA-5601884	29
R-HSA-168164	1
R-HSA-917977	29
R-HSA-8854518	71
R-HSA-112409	13
R-HSA-68867	15
R-HSA-727802	9
R-HSA-5619110	1
R-HSA-211736	2
R-HSA-211733	50
R-HSA-71336	9
R-HSA-5675482	11
R-HSA-1251985	24
R-HSA-68911	5
R-HSA-167246	44
R-HSA-167242	23
R-HSA-167243	34
R-HSA-5683826	30
R-HSA-189200	9
R-HSA-175567	3
R-HSA-4411364	7
R-HSA-2500257	115
R-HSA-5357786	13
R-HSA-1482925	18
R-HSA-3000178	75
R-HSA-5173105	10
R-HSA-3000170	27
R-HSA-3000171	40
R-HSA-5625900	16
R-HSA-264642	16
R-HSA-76071	28
R-HSA-174362	6
R-HSA-193144	6
R-HSA-5652227	2
R-HSA-3249367	3
R-HSA-140875	22
R-HSA-5655253	23
R-HSA-3315487	6
R-HSA-428540	14
R-HSA-428543	9
R-HSA-428542	3
R-HSA-5627083	3
R-HSA-3769402	42
R-HSA-111957	4
R-HSA-211994	2
R-HSA-211999	11
R-HSA-209543	13
R-HSA-8853334	9
R-HSA-162699	3
R-HSA-162594	3
R-HSA-435368	7
R-HSA-77305	3
R-HSA-162592	5
R-HSA-173623	69
R-HSA-5689880	205
R-HSA-389887	9
R-HSA-139853	16
R-HSA-427389	45
R-HSA-173107	4
R-HSA-5676590	59
R-HSA-5676594	16
R-HSA-156842	6
R-HSA-918233	14
R-HSA-1368082	27
R-HSA-4086398	59
R-HSA-5467340	14
R-HSA-5467348	14
R-HSA-193634	9
R-HSA-416482	87
R-HSA-5617472	91
R-HSA-8847453	4
R-HSA-73762	47
R-HSA-2682334	25
R-HSA-163125	67
R-HSA-5083625	18
R-HSA-195253	68
R-HSA-416550	8
R-HSA-5083629	1
R-HSA-5083628	1
R-HSA-8866911	5
R-HSA-844623	2
R-HSA-6811558	73
R-HSA-6811555	9
R-HSA-177504	14
R-HSA-70326	5
R-HSA-3296197	3
R-HSA-437239	47
R-HSA-69298	15
R-HSA-8849175	2
R-HSA-2978092	1
R-HSA-69052	6
R-HSA-427413	75
R-HSA-83936	7
R-HSA-392154	7
R-HSA-71032	5
R-HSA-351202	4
R-HSA-351200	2
R-HSA-168179	6
R-HSA-112382	61
R-HSA-3134975	14
R-HSA-112387	49
R-HSA-975957	116
R-HSA-975956	96
R-HSA-168176	1
R-HSA-2644607	4
R-HSA-2644606	56
R-HSA-112411	8
R-HSA-112412	6
R-HSA-417973	4
R-HSA-73780	18
R-HSA-168316	2
R-HSA-168315	2
R-HSA-211728	2
R-HSA-174184	72
R-HSA-380259	68
R-HSA-606279	54
R-HSA-69478	5
R-HSA-5545619	2
R-HSA-380095	5
R-HSA-69473	67
R-HSA-5619058	1
R-HSA-209931	5
R-HSA-69273	22
R-HSA-1606322	1
R-HSA-171052	22
R-HSA-169131	1
R-HSA-450302	23
R-HSA-2453864	8
R-HSA-6805567	155
R-HSA-181429	17
R-HSA-180910	30
R-HSA-532668	16
R-HSA-190372	9
R-HSA-5668599	13
R-HSA-5250971	3
R-HSA-380320	29
R-HSA-964827	3
R-HSA-2672351	78
R-HSA-2179392	8
R-HSA-2408517	11
R-HSA-68877	103
R-HSA-3371511	12
R-HSA-6804760	19
R-HSA-205017	2
R-HSA-5389840	87
R-HSA-76066	27
R-HSA-76061	28
R-HSA-5654687	13
R-HSA-2855086	4
R-HSA-5654689	15
R-HSA-6787639	6
R-HSA-975144	14
